Velocidade do Vento (m/s),Densidade de Probabilidade,Horário
0.3751835087496844,0.0017566447661716844,03:00
0.554450231724645,0.002432191381272581,03:00
0.7337169546996056,0.0032344421673542096,03:00
0.9129836776745662,0.004167891859301415,03:00
1.0922504006495268,0.005236424213116461,03:00
1.2715171236244873,0.006443336613680934,03:00
1.450783846599448,0.007791345981353531,03:00
1.6300505695744087,0.00928258143590102,03:00
1.8093172925493692,0.0109185673394068,03:00
1.9885840155243297,0.012700199277794455,03:00
2.1678507384992907,0.014627714904151264,03:00
2.347117461474251,0.016700661176611273,03:00
2.5263841844492116,0.01891785928134518,03:00
2.705650907424172,0.02127736838112542,03:00
2.884917630399133,0.023776449238313808,03:00
3.0641843533740936,0.026411528706813618,03:00
3.243451076349054,0.029178166056670903,03:00
3.4227177993240145,0.03207102207808017,03:00
3.601984522298975,0.03508383190170851,03:00
3.781251245273936,0.03820938246434717,03:00
3.9605179682488965,0.04143949553888991,03:00
4.139784691223857,0.044765017232224105,03:00
4.319051414198817,0.048175814831045514,03:00
4.4983181371737775,0.05166078184152446,03:00
4.677584860148739,0.05520785202215676,03:00
4.856851583123699,0.05880402314835136,03:00
5.036118306098659,0.06243539117097078,03:00
5.215385029073621,0.06608719533812227,03:00
5.394651752048581,0.06974387473932542,03:00
5.573918475023541,0.07338913660347586,03:00
5.753185197998503,0.07700603653692797,03:00
5.932451920973463,0.08057707072614738,03:00
6.111718643948423,0.08408427995183464,03:00
6.290985366923385,0.0875093650698154,03:00
6.470252089898345,0.09083381341049795,03:00
6.649518812873305,0.09403903533600892,03:00
6.828785535848265,0.09710650997547957,03:00
7.008052258823227,0.10001793893812029,03:00
7.187318981798187,0.10275540658491965,03:00
7.366585704773147,0.10530154522768662,03:00
7.545852427748109,0.10763970342371033,03:00
7.725119150723069,0.1097541153507819,03:00
7.904385873698029,0.11163006908607903,03:00
8.08365259667299,0.11325407147883228,03:00
8.262919319647951,0.11461400720600698,03:00
8.442186042622911,0.11569928953737936,03:00
8.621452765597871,0.11650100031581989,03:00
8.800719488572833,0.11701201668415824,03:00
8.979986211547793,0.11722712216470067,03:00
9.159252934522753,0.11714309982336459,03:00
9.338519657497715,0.11675880542841748,03:00
9.517786380472675,0.11607521874365063,03:00
9.697053103447635,0.11509547137583481,03:00
9.876319826422597,0.11382484992343,03:00
10.055586549397557,0.11227077354325637,03:00
10.234853272372517,0.11044274545825167,03:00
10.414119995347479,0.10835227836526218,03:00
10.593386718322439,0.10601279415850455,03:00
10.772653441297399,0.10343949885228018,03:00
10.951920164272359,0.10064923405523891,03:00
11.13118688724732,0.09766030680686057,03:00
11.31045361022228,0.09449230002343813,03:00
11.48972033319724,0.09116586620427501,03:00
11.668987056172202,0.08770250740799554,03:00
11.848253779147162,0.0841243448134562,03:00
12.027520502122123,0.08045388142045617,03:00
12.206787225097084,0.07671376161441225,03:00
12.386053948072044,0.07292653141022806,03:00
12.565320671047004,0.06911440319959195,03:00
12.744587394021966,0.06529902875091276,03:00
12.923854116996926,0.06150128405241579,03:00
13.103120839971886,0.05774106934934803,03:00
13.282387562946846,0.05403712741094665,03:00
13.461654285921808,0.05040688267924455,03:00
13.640921008896768,0.04686630350946882,03:00
13.820187731871728,0.043429789222093014,03:00
13.99945445484669,0.04011008316238666,03:00
14.17872117782165,0.036918212418486224,03:00
14.35798790079661,0.03386345429815906,03:00
14.537254623771572,0.030953329122240258,03:00
14.716521346746532,0.02819361837355734,03:00
14.895788069721492,0.025588406757547446,03:00
15.075054792696454,0.023140146296966195,03:00
15.254321515671414,0.020849740208642,03:00
15.433588238646374,0.01871664400367242,03:00
15.612854961621336,0.016738981020022692,03:00
15.792121684596296,0.014913669441930214,03:00
15.971388407571256,0.013236557785071502,03:00
16.15065513054622,0.011702565828806591,03:00
16.329921853521178,0.010305828053283941,03:00
16.50918857649614,0.009039836783885565,03:00
16.6884552994711,0.007897582450629693,03:00
16.86772202244606,0.006871688626399559,03:00
17.04698874542102,0.00595453980476707,03:00
17.226255468395983,0.005138400204546055,03:00
17.40552219137094,0.004415522232593739,03:00
17.584788914345904,0.0037782435874935075,03:00
17.764055637320865,0.0032190723338651217,03:00
17.943322360295824,0.0027307596103456015,03:00
18.122589083270785,0.0023063599451646198,03:00
0.2214618171586012,0.0016168515301061548,09:00
0.4131191078663232,0.0024271476456844505,09:00
0.6047763985740452,0.003410461959910156,09:00
0.7964336892817672,0.004568880182757247,09:00
0.9880909799894892,0.0059037322533127025,09:00
1.179748270697211,0.007415617114204888,09:00
1.3714055614049332,0.009104397948064115,09:00
1.563062852112655,0.010969179900192865,09:00
1.7547201428203771,0.01300827727645772,09:00
1.9463774335280992,0.015219174681932436,09:00
2.1380347242358213,0.017598485213123044,09:00
2.3296920149435434,0.02014190805382546,09:00
2.5213493056512655,0.02284418737691973,09:00
2.7130065963589876,0.025699074181795466,09:00
2.904663887066709,0.028699292523845312,09:00
3.0963211777744313,0.03183651147514249,09:00
3.2879784684821534,0.0351013240678514,09:00
3.4796357591898754,0.0384832343975353,09:00
3.6712930498975975,0.04197065399136414,09:00
3.862950340605319,0.04555090846876763,09:00
4.054607631313041,0.04921025543403016,09:00
4.246264922020763,0.05293391443792231,09:00
4.437922212728485,0.056706109726100705,09:00
4.629579503436207,0.06051012635399551,09:00
4.821236794143929,0.06432838009036931,09:00
5.012894084851651,0.06814250135454741,09:00
5.204551375559373,0.0719334332360857,09:00
5.3962086662670945,0.07568154343167256,09:00
5.587865956974817,0.07936674970437498,09:00
5.779523247682539,0.0829686582276597,09:00
